PDBchain   len  method   resol   rfac  freerfac
3NVSA      450  XRAY     1.021  0.115  0.138
7RM7A      228  XRAY     1.025  0.119  0.144
6QU6A      212  XRAY      1.03  0.137  0.148
5J6YA      188  XRAY      1.03  0.156  0.164
3A72A      355  XRAY      1.04  0.104  0.125
8YTOA      248  XRAY      1.04  0.108  0.124
6FM7A      382  XRAY      1.04  0.117  0.136
7T3EA      300  XRAY      1.04  0.124  0.139
5XBXA      190  XRAY      1.04  0.124  0.139
6G1GA      223  XRAY      1.04  0.125  0.137
2BOGX      286  XRAY      1.04   0.15  0.165
7BGGA      245  XRAY      1.04  0.175  0.181
6FNKA      297  XRAY     1.049  0.196   0.22
8Q9XA      489  XRAY      1.05  0.109  0.126
7E2SA      233  XRAY      1.05  0.118  0.134
1FSGA      233  XRAY      1.05  0.122  0.154
5FI3A      357  XRAY      1.05  0.124  0.143
4MNCA      332  XRAY      1.05  0.129  0.144
3R2QA      202  XRAY      1.05  0.132  0.153
1LQTA      456  XRAY      1.05  0.134  0.153
6ZWFA      352  XRAY      1.05  0.134  0.153
2D5MA      190  XRAY      1.05  0.135  0.162
8QCEA      336  XRAY      1.05  0.148   0.17
5U4HA      421  XRAY      1.05  0.162  0.176
3G5SA      443  XRAY      1.05  0.163  0.178
3NYCA      381  XRAY      1.06  0.135   0.16
7CKAA      226  XRAY      1.06  0.159  0.173
4QRNA      373  XRAY      1.07  0.136  0.155
7ADGA      419  XRAY     1.079  0.127  0.144
4UHFA      282  XRAY      1.08  0.115  0.136
1UWCA      261  XRAY      1.08  0.116  0.138
1W66A      232  XRAY      1.08  0.117  0.146
6P2LA      697  XRAY      1.08  0.119   0.14
1DS1A      324  XRAY      1.08  0.135  0.166
6YQ0AAA    255  XRAY      1.08  0.156   0.17
4BPSA      344  XRAY     1.081  0.127  0.146
6ZJ6AAA    385  XRAY      1.09  0.114  0.136
6THOA      222  XRAY      1.09   0.12  0.148
6FIYA      303  XRAY      1.09  0.126   0.15
8J6GA      621  XRAY      1.09  0.152  0.161
6FTFB      304  XRAY     1.092  0.151   0.16
8AGQA      214  XRAY     1.093  0.133  0.149
5AQEA      269  XRAY       1.1  0.077  0.088
3RPEA      218  XRAY       1.1    0.1  0.117
5LSVA      233  XRAY       1.1  0.102  0.125
6T85A      460  XRAY       1.1  0.109   0.13
3DJJA      478  XRAY       1.1  0.113  0.147
5EL9A      205  XRAY       1.1  0.115  0.129
4A9VA      592  XRAY       1.1  0.118  0.117
7NQGAAA    327  XRAY       1.1  0.119  0.138
2OSXA      481  XRAY       1.1  0.122  0.139
5JBXA      261  XRAY       1.1  0.126  0.145
4B5NA      355  XRAY       1.1  0.127  0.141
6G7NA      318  XRAY       1.1  0.135  0.151
6MU0A      160  XRAY       1.1  0.135  0.149
4MIJA      337  XRAY       1.1  0.139  0.152
6RTPB      492  XRAY       1.1   0.14  0.158
2VFRA      422  XRAY       1.1   0.14  0.165
6RTPA      283  XRAY       1.1   0.14  0.158
1JCJA      260  XRAY       1.1  0.142  0.168
7OJUA      216  XRAY       1.1  0.146  0.165
2HXSA      178  XRAY       1.1  0.152  0.184
3OD3A      488  XRAY       1.1  0.155  0.185
4B1MA      185  XRAY       1.1  0.158  0.181
4CNGA      255  XRAY       1.1  0.163  0.185
4QA8A      229  XRAY       1.1  0.165  0.189
4NSYA      275  XRAY       1.1  0.166  0.208
1JM1A      204  XRAY      1.11  0.106  0.125
3A8GB      212  XRAY      1.11  0.143  0.169
3A8GA      207  XRAY      1.11  0.143  0.169
3G5TA      299  XRAY     1.119  0.121  0.137
9F30A      263  XRAY      1.12  0.149  0.179
6GHTA      274  XRAY      1.12  0.161  0.187
8OVSAAA    299  XRAY     1.123  0.154  0.169
4FEEA      603  XRAY      1.13  0.122  0.149
4BPZA      256  XRAY      1.13  0.144  0.175
7UX7A      384  XRAY      1.14  0.121  0.142
8PCXA      234  XRAY      1.14  0.122  0.136
5UE1A      234  XRAY      1.14  0.131  0.158
5MXCA      325  XRAY      1.14  0.138  0.146
7BBMA      166  XRAY      1.14  0.145  0.158
6JV0A      302  XRAY      1.14  0.174  0.192
4W8BA      386  XRAY      1.15  0.104  0.122
4JXRA      186  XRAY      1.15  0.116  0.137
4YZ0A      204  XRAY      1.15  0.118  0.148
3DLCA      219  XRAY      1.15  0.121  0.138
7D8FA      234  XRAY      1.15  0.123   0.14
6RJBA      637  XRAY      1.15  0.124  0.148
8QYGA      227  XRAY      1.15  0.124  0.149
1GWMA      153  XRAY      1.15  0.129  0.156
4ERCA      150  XRAY      1.15  0.129  0.145
8RU6B      491  XRAY      1.15  0.138  0.158
7PQKA      232  XRAY      1.15  0.138  0.166
4ZVFA      172  XRAY      1.15  0.139  0.165
8OV5M      312  XRAY      1.15  0.141  0.155
6GEHA      256  XRAY      1.15  0.146  0.173
2R01A      210  XRAY      1.15  0.149  0.165
5T38A      254  XRAY      1.15  0.154  0.168
4BEUA      392  XRAY      1.15  0.164  0.173
7YKOA      260  XRAY      1.15   0.17   0.18
5OFKA      339  XRAY      1.16  0.172  0.186
6XWKBBB    172  XRAY      1.17   0.12  0.145
6XWKAAA    162  XRAY      1.17   0.12  0.145
5K9BA      180  XRAY     1.174   0.15  0.168
5F6RA      175  XRAY     1.179  0.148  0.166
6SSDA      424  XRAY      1.18  0.112  0.129
5G3YA      226  XRAY      1.18  0.132   0.15
9GR8A      337  XRAY      1.18  0.154  0.183
4TPNA      406  XRAY      1.18  0.163  0.171
8BF3A      388  XRAY      1.19  0.117  0.138
1UWKA      557  XRAY      1.19  0.141  0.179
6YZHA      398  XRAY      1.19  0.173   0.19
2BK9A      153  XRAY       1.2  0.102  0.134
6SAOA      439  XRAY       1.2  0.111  0.134
4CD4A      419  XRAY       1.2  0.112  0.134
2NLRA      234  XRAY       1.2  0.112  0.142
4MF6A      256  XRAY       1.2  0.113  0.131
6I6MA      393  XRAY       1.2  0.117   0.13
3IR4A      218  XRAY       1.2  0.118  0.144
5AGDA      362  XRAY       1.2  0.122  0.144
6UJKA      258  XRAY       1.2  0.122  0.137
5MFAA      697  XRAY       1.2  0.124  0.143
2BHZA      602  XRAY       1.2  0.125  0.142
8FUXA      329  XRAY       1.2  0.125  0.157
2AU6A      175  XRAY       1.2  0.125  0.157
3UAWA      235  XRAY       1.2  0.126  0.141
1XDNA      277  XRAY       1.2  0.129  0.148
8CC2AAA    254  XRAY       1.2  0.135  0.165
3SQZA      425  XRAY       1.2  0.137  0.155
3EDOA      151  XRAY       1.2  0.137   0.16
4WWHA      362  XRAY       1.2  0.139  0.154
3FRHA      253  XRAY       1.2  0.139  0.159
4N6KA      351  XRAY       1.2   0.14  0.162
4G10A      265  XRAY       1.2   0.14  0.155
5DNUA      275  XRAY       1.2  0.141  0.155
5I39A      408  XRAY       1.2  0.142  0.157
6A56A      164  XRAY       1.2  0.144  0.176
6I9AA      461  XRAY       1.2  0.146  0.148
3A9BA      395  XRAY       1.2  0.149  0.169
1W6SA      599  XRAY       1.2  0.153  0.177
1W6SB       74  XRAY       1.2  0.153  0.177
2BMOB      194  XRAY       1.2  0.156  0.172
6QXRA      232  XRAY       1.2   0.16  0.178
2FLHA      155  XRAY       1.2   0.16   0.19
8IXTA      427  XRAY       1.2  0.161  0.171
5IGIA      301  XRAY       1.2  0.161  0.163
1ATGA      231  XRAY       1.2  0.164  0.183
2I7DA      193  XRAY       1.2  0.167  0.196
7BBVA      343  XRAY       1.2  0.173  0.196
2C1VA      338  XRAY       1.2  0.174  0.188
3B12A      304  XRAY       1.2  0.177  0.185
2VK2A      306  XRAY       1.2  0.179   0.19
7L1YA      247  XRAY       1.2  0.181  0.203
1Z2NX      324  XRAY       1.2  0.182  0.205
1I24A      404  XRAY       1.2  0.192  0.198
2BBRA      195  XRAY       1.2  0.211  0.226
7BJ9A      234  XRAY      1.21  0.137  0.152
4O8OA      384  XRAY      1.21  0.139  0.156
4OXXA      162  XRAY      1.21  0.142   0.16
7H6GA      235  XRAY      1.21  0.158  0.181
8S6GA      487  XRAY      1.21  0.163  0.184
5X5MA      216  XRAY     1.211  0.181  0.195
5K87A      399  XRAY     1.219  0.164  0.182
7EN7A      195  XRAY      1.22  0.154  0.169
8EVWA      347  XRAY      1.22  0.161   0.18
6YX3A      306  XRAY      1.22  0.162  0.179
4X7GA      251  XRAY      1.22  0.178  0.197
4IIXA      371  XRAY     1.229  0.163  0.175
5V2ZA      352  XRAY      1.23  0.142   0.16
4D6GA      599  XRAY      1.24  0.118  0.133
2C03A      297  XRAY      1.24  0.138  0.184
1USCA      178  XRAY      1.24  0.203  0.222
5J4UA      231  XRAY     1.249   0.17  0.181
3AYIA      721  XRAY      1.25  0.105  0.131
8AJXA      240  XRAY      1.25  0.107  0.133
6E85A      331  XRAY      1.25  0.115  0.139
4S28A      576  XRAY      1.25  0.117  0.137
3MMHA      167  XRAY      1.25   0.12  0.157
5DVIA      419  XRAY      1.25  0.123  0.152
4QPNA      227  XRAY      1.25  0.124  0.167
4Z0GA      413  XRAY      1.25  0.125  0.148
3C6YA      257  XRAY      1.25  0.127  NA   
6YMDA      447  XRAY      1.25  0.129   0.15
4PZ0A      324  XRAY      1.25  0.129  0.149
7O1OA      357  XRAY      1.25   0.13  0.152
8II8A      226  XRAY      1.25  0.133  0.164
6KSTA      372  XRAY      1.25  0.134  0.161
4HRRA      150  XRAY      1.25  0.139  0.174
4ZBGA      172  XRAY      1.25  0.143  0.163
7QU5A      280  XRAY      1.25  0.145  0.174
7XPOA      355  XRAY      1.25  0.146  0.173
7NROA      216  XRAY      1.25  0.147  0.164
3VWDA      201  XRAY      1.25  0.151   0.17
3P3CA      274  XRAY      1.25  0.153  0.161
2JAEA      489  XRAY      1.25  0.154  0.182
5Y1FA      328  XRAY      1.25  0.158  0.181
3B0GA      591  XRAY      1.25  0.161  0.169
5JJ2A      211  XRAY      1.25  0.162   0.18
6SJ2A      519  XRAY      1.25  0.165  0.178
6T6XA      310  XRAY      1.25  0.167  0.175
3OIGA      266  XRAY      1.25  0.167  0.185
2B82A      211  XRAY      1.25  0.167  0.189
1YNPA      317  XRAY      1.25  0.172  0.206
6UB6A      270  XRAY      1.25  0.174  0.191
1QFTA      175  XRAY      1.25  0.184  NA   
4HI7A      228  XRAY      1.25  0.201  0.228
1O8BA      219  XRAY      1.25  0.224   0.24
8CAWA      491  XRAY     1.256   0.17  0.191
7TOHA      386  XRAY      1.26  0.136  0.169
8U19A      412  XRAY      1.26  0.147  0.182
2E7ZA      727  XRAY      1.26  0.161  0.195
9HDGA      219  XRAY      1.26  0.166  0.196
6T8YAAA    410  XRAY      1.26   0.17  0.193
3PFXA      437  XRAY     1.262  0.132  0.146
4CHIA      332  XRAY      1.27  0.104  0.127
9F96A      298  XRAY      1.27  0.129  0.147
7Q4TAAA    206  XRAY      1.27  0.132  0.161
5GSMA      786  XRAY      1.27  0.133  0.175
5IYPA      306  XRAY      1.27  0.136  0.159
5AOGA      307  XRAY      1.27  0.137  0.159
6ZPYAAA    627  XRAY      1.27  0.141  0.179
5A3YA      548  XRAY      1.27  0.145  0.166
6R8RA      383  XRAY      1.27  0.149  0.178
7PD1A      377  XRAY      1.27  0.151   0.17
7P59A      509  XRAY      1.27  0.176  0.196
5ULBA      337  XRAY      1.28  0.112  0.153
1WDQA      495  XRAY      1.28  0.117  0.174
7OYWA      352  XRAY      1.28  0.133  0.161
8J3YA      392  XRAY      1.28   0.15  0.168
3SIGA      277  XRAY      1.28   0.15  0.161
5HJ9A      330  XRAY      1.28  0.151  0.159
4EXKA      487  XRAY      1.28   0.16  0.178
8OSVA      263  XRAY      1.28  0.166   0.18
4EUOA      320  XRAY      1.28  0.167  0.181
8C5DA      210  XRAY      1.28  0.176    0.2
6K80A      214  XRAY      1.28  0.186  0.199
5VX5A      162  XRAY     1.285  0.154  0.167
3FEDA      707  XRAY      1.29  0.131  0.147
4V2KA      253  XRAY      1.29  0.143  0.155
9AUAA      538  XRAY      1.29  0.168  0.184
6EFNA      412  XRAY     1.291  0.144  0.169
6GNAA      288  XRAY     1.295  0.177  0.201
6HURA      428  XRAY     1.297  0.151  0.171
3S2JA      400  XRAY     1.297  0.171  0.177
4BALA      207  XRAY     1.298  0.136  0.157
6ER4A      194  XRAY       1.3   0.11  0.135
4Q5KA      240  XRAY       1.3  0.117  0.149
1EU1A      780  XRAY       1.3  0.121  0.145
4IILA      346  XRAY       1.3  0.122  0.153
5I8FA      165  XRAY       1.3  0.128  0.153
7TVPA      225  XRAY       1.3  0.134  0.164
4GVQA      316  XRAY       1.3  0.135   0.16
9QYFA      197  XRAY       1.3  0.135  0.173
4P7XA      292  XRAY       1.3  0.137  0.162
8WCFA      160  XRAY       1.3  0.137  0.166
7S0PM      157  XRAY       1.3  0.137  0.156
9DV9A      475  XRAY       1.3  0.141  0.162
6GUXA      241  XRAY       1.3  0.141  0.172
8PD6A      218  XRAY       1.3  0.141  0.177
8I3PA      198  XRAY       1.3  0.142  0.161
4QC6A      179  XRAY       1.3  0.148  0.166
6VJUA      324  XRAY       1.3  0.149   0.18
2V6KA      214  XRAY       1.3  0.151  0.165
3LHSA      296  XRAY       1.3  0.155  0.186
1VP8A      201  XRAY       1.3  0.155  0.166
1SG4A      260  XRAY       1.3  0.157  0.202
1NCWL      219  XRAY       1.3  0.158  0.208
1E59A      249  XRAY       1.3  0.159  0.213
9GTEB      188  XRAY       1.3   0.16  0.179
5KWIA      303  XRAY       1.3  0.166  0.176
8AXSA      578  XRAY       1.3  0.167  0.188
3H4IA      404  XRAY       1.3   0.17  0.184
7F82A      351  XRAY       1.3   0.17  0.187
9C4IA      241  XRAY       1.3  0.173  0.191
6FYJA      421  XRAY       1.3  0.174  0.193
8YLAA      339  XRAY       1.3  0.176  0.191
2IMQX      282  XRAY       1.3  0.178  0.208
1HYOA      421  XRAY       1.3  0.181  0.199
9CJ0A      170  XRAY       1.3  0.186  0.222
2GQTA      268  XRAY       1.3  0.189  0.209
7L7YAAA    227  XRAY       1.3  0.195  0.214
8YIKA      403  XRAY       1.3    0.2  0.206
3ZTVA      579  XRAY       1.3  0.201  0.234
2PXXA      215  XRAY       1.3  0.211  0.226
4NQGA      197  XRAY     1.301  0.162   0.19
4A2RA      258  XRAY     1.302  0.139  0.165
8D1UA      320  XRAY     1.302  0.144  0.167
4G8BA      279  XRAY     1.302   0.15  0.159
5F5NA      289  XRAY     1.304  0.145  0.166
9FD5A      195  XRAY      1.31  0.117  0.153
4UOBA      278  XRAY      1.31  0.135  0.159
6TTOA      317  XRAY      1.31  0.138  0.164
7PRBA      438  XRAY      1.31  0.167  0.185
6TCVB      451  XRAY     1.311   0.16  0.177
5KWSA      313  XRAY     1.316  0.145   0.16
6VD1A      402  XRAY      1.32  0.142  0.173
5AD1A      290  XRAY      1.32  0.142  0.181
8D4IA      477  XRAY      1.32  0.146  0.171
4KWOA      388  XRAY      1.32  0.147  0.163
7PTFA      221  XRAY      1.32   0.15  0.177
9DWPA      311  XRAY      1.32  0.159  0.177
6EQSA      275  XRAY      1.32  0.161  0.209
4EDHA      213  XRAY      1.32  0.169  0.189
5ZZQA      377  XRAY      1.32  0.176  0.188
1Z0JB       59  XRAY      1.32  0.206  0.235
6Z96A      166  XRAY     1.327  0.166  0.184
2XTSA      390  XRAY      1.33  0.107  0.111
2XTSB      205  XRAY      1.33  0.107  0.111
4UHMA      468  XRAY      1.33  0.108  0.126
6SYUA      421  XRAY      1.33  0.121  0.145
4AW7A      591  XRAY      1.33  0.138  0.152
8BN0A      374  XRAY      1.33  0.142  0.167
6OS6A      375  XRAY      1.33  0.167  0.181
8AM6AAA    598  XRAY      1.33  0.175  0.195
9MG1A      289  XRAY      1.33  0.186  0.203
8D0WA      322  XRAY     1.332  0.155  0.175
4QRZA      407  XRAY      1.34  0.112  0.147
5KTNA      304  XRAY      1.34  0.124  0.155
4WOHA      166  XRAY      1.34  0.142  0.165
7SBHA      208  XRAY      1.34  0.145  0.162
7S7GA      617  XRAY      1.34  0.147  0.169
8GXNB      236  XRAY      1.34  0.164  0.171
8BK4A      163  XRAY      1.34  0.197  0.221
9AT9B      166  XRAY      1.34  0.216  0.232
5HWKA      240  XRAY     1.344  0.162  0.193
7NZPAAA    204  XRAY     1.345  0.185  0.213
6ELSA      506  XRAY     1.346  0.145  0.179
4RK5A      283  XRAY      1.35   0.11  0.141
6SBCA      367  XRAY      1.35  0.117  0.153
4PLFA      334  XRAY      1.35  0.121  0.144
6SJ8A      307  XRAY      1.35  0.121  0.157
7P26AAA    517  XRAY      1.35  0.124  0.139
6E1XA      176  XRAY      1.35  0.125  0.151
1KG5A      225  XRAY      1.35  0.128  0.169
3V7PA      427  XRAY      1.35  0.129  0.161
7FDZA      443  XRAY      1.35   0.13   0.15
5A7VA      388  XRAY      1.35  0.131   0.15
7KFFA      308  XRAY      1.35  0.132  0.154
7B7QA      629  XRAY      1.35  0.133  0.158
5UJCA      270  XRAY      1.35  0.134  0.163
8DORA      225  XRAY      1.35  0.135  0.162
3GFAA      198  XRAY      1.35  0.135  0.157
3OCUA      262  XRAY      1.35  0.136  0.154
5HWAA      259  XRAY      1.35  0.138   0.17
2A9YA      383  XRAY      1.35  0.139  0.195
2GKEA      274  XRAY      1.35  0.139  0.168
2IYVA      184  XRAY      1.35   0.14  0.178
3WG3A      178  XRAY      1.35  0.141  0.156
6G7DA      231  XRAY      1.35  0.143  0.172
4H6BA      195  XRAY      1.35  0.143  0.169
6MEAA      174  XRAY      1.35  0.143  0.162
5VN4A      243  XRAY      1.35  0.144  0.175
2CL2A      298  XRAY      1.35  0.145  0.167
6SUMA      335  XRAY      1.35  0.146  0.176
5NUEA      332  XRAY      1.35  0.148   0.18
6EF6A      354  XRAY      1.35   0.15  0.168
3BC9A      599  XRAY      1.35  0.151  0.178
6O15A      372  XRAY      1.35  0.151  0.169
8VCWA      327  XRAY      1.35  0.151  0.173
5YMXA      203  XRAY      1.35  0.152  0.179
4RXTA      299  XRAY      1.35  0.157  0.205
8XBNA      215  XRAY      1.35  0.157  0.184
4AK2A      288  XRAY      1.35   0.16  0.191
5CTNA      233  XRAY      1.35  0.161  0.187
1V0WA      506  XRAY      1.35  0.162  0.186
2PHNA      254  XRAY      1.35  0.164   0.19
2EHZA      302  XRAY      1.35  0.166  0.178
8QJZA      246  XRAY      1.35  0.172  0.187
2RDNA      288  XRAY      1.35  0.173  0.196
7NH2A      166  XRAY      1.35  0.183  0.197
6F5ZC       61  XRAY      1.35  0.186  0.207
8S02A      447  XRAY      1.35    0.2  0.217
8S02B      379  XRAY      1.35    0.2  0.217
2I4BA      429  XRAY      1.35  0.209  0.222
4H6QA      312  XRAY     1.359   0.15  0.181
3T2DA      407  XRAY      1.36  0.105  0.126
5EQ9A      277  XRAY      1.36  0.116  0.156
6HPFA      312  XRAY      1.36  0.123  0.143
3I45A      387  XRAY      1.36  0.159  0.174
8D8XA      287  XRAY      1.36   0.16  0.179
6Z4WA      230  XRAY      1.36  0.177  0.195
7WCFA      320  XRAY     1.364   0.18    0.2
7MY0A      310  XRAY      1.37  0.128   0.16
4ZS9A      413  XRAY      1.37  0.134  0.167
6KSRA      467  XRAY      1.37  0.139  0.161
5O37A      273  XRAY      1.37  0.139  0.177
7BPOA      165  XRAY      1.37   0.16  0.176
5I5MA      638  XRAY      1.37  0.164  0.181
6E5FA      228  XRAY      1.37  0.178  0.203
4BQNA      312  XRAY      1.38  0.118  0.155
5Z1XA      495  XRAY      1.38  0.127  0.149
5U2KA      199  XRAY      1.38  0.128  0.169
7BX9A      168  XRAY      1.38  0.132  0.151
8GYNA      160  XRAY      1.38  0.149  0.184
1GVEA      327  XRAY      1.38  0.159   0.18
6M5YA      272  XRAY      1.38  0.185  0.219
6Z8HA      499  XRAY      1.38  0.218  0.241
6GW3D      489  XRAY      1.39   0.12  0.155
7YWKA      427  XRAY      1.39  0.121  0.169
2Y24A      383  XRAY      1.39  0.122  0.169
5Y9XA      318  XRAY      1.39  0.134  0.168
9D7JA      271  XRAY      1.39  0.141  0.174
6K4TA      262  XRAY      1.39  0.148   0.17
6GIUA      277  XRAY      1.39  0.149  0.167
5MULA      431  XRAY      1.39  0.174  0.194
5HXFA      184  XRAY      1.39  0.176  0.199
7ZSG1      327  XRAY      1.39  0.194  0.197
3VO2A      310  XRAY      1.39  0.199  0.216
8ABTA      251  XRAY      1.39  0.238  0.259
6DQ4A      330  XRAY     1.392  0.184  0.216
4DQ5A      173  XRAY     1.395  0.166  0.177
6SXUAAA    502  XRAY     1.398  0.155  0.162
6P5VA      384  XRAY     1.398  0.173  0.205
4NI3A      585  XRAY     1.399  0.145  0.167
8U0ZA      263  XRAY     1.399  0.159  0.178
4ICIA      171  XRAY       1.4  0.116  0.147
3E4VA      186  XRAY       1.4  0.121  0.151
8CBCA      455  XRAY       1.4  0.124  0.146
5U81A      384  XRAY       1.4  0.124  0.158
6YTZA      351  XRAY       1.4  0.124  0.166
6UK3A      485  XRAY       1.4   0.13  0.161
4C5KA      276  XRAY       1.4   0.13  0.165
1OI6A      205  XRAY       1.4   0.13  0.166
3A09A      490  XRAY       1.4  0.131  0.208
8PDGAAA    463  XRAY       1.4  0.138   0.19
5WKRA      223  XRAY       1.4  0.138  0.167
5JHXA      764  XRAY       1.4  0.139  0.161
9JOGA      423  XRAY       1.4   0.14  0.155
4N02A      357  XRAY       1.4   0.14  0.159
4DO4A      400  XRAY       1.4  0.143  0.178
2Y64A      167  XRAY       1.4  0.143    0.2
3QC5X      360  XRAY       1.4  0.144  0.172
1GKLA      297  XRAY       1.4  0.144   0.16
5H18A      293  XRAY       1.4  0.144  0.174
7FEAA      407  XRAY       1.4  0.146  0.163
2WK1A      282  XRAY       1.4  0.146  0.163
8SADA      403  XRAY       1.4  0.147  0.161
6SQXA      499  XRAY       1.4  0.148  0.175
5LPAA      270  XRAY       1.4  0.148  0.178
1GK8A      475  XRAY       1.4  0.149  0.162
4PQHA      236  XRAY       1.4  0.149  0.193
1GK8I      140  XRAY       1.4  0.149  0.162
6KQSA      665  XRAY       1.4   0.15  0.172
8RAQA      287  XRAY       1.4   0.15  0.171
6F9QA      272  XRAY       1.4  0.151  0.168
6WGMA      323  XRAY       1.4  0.152  0.168
2WHLA      294  XRAY       1.4  0.152  0.188
5F7VA      400  XRAY       1.4  0.153  0.181
6COJA      308  XRAY       1.4  0.153  0.173
6COJB      253  XRAY       1.4  0.153  0.173
6PT8A      350  XRAY       1.4  0.154  0.175
8HKBA      305  XRAY       1.4  0.154  0.181
7FE4A      678  XRAY       1.4  0.157   0.17
5FRDA      260  XRAY       1.4  0.157  0.173
2Y53A      534  XRAY       1.4  0.158  0.185
5IXHA      161  XRAY       1.4  0.158  0.183
4LXQA      274  XRAY       1.4  0.159  0.178
7ZKHA      275  XRAY       1.4   0.16  0.185
6V7GA      445  XRAY       1.4  0.161  0.188
3AU2A      575  XRAY       1.4  0.163  0.188
5INJA      405  XRAY       1.4  0.163  0.197
7AT3A      296  XRAY       1.4  0.163  0.186
6E3AA      182  XRAY       1.4  0.163  0.186
8SL9A      423  XRAY       1.4  0.164  0.178
2YC3A      228  XRAY       1.4  0.165  0.204
7UT5A      354  XRAY       1.4  0.166  0.174
8U94A      214  XRAY       1.4  0.166  0.194
2I51A      195  XRAY       1.4  0.166  0.188
3BERA      249  XRAY       1.4  0.167  0.189
2HOXA      427  XRAY       1.4  0.169  0.205
4EQ9A      246  XRAY       1.4  0.169   0.19
5EDFA      244  XRAY       1.4  0.169  0.193
8BKDA      230  XRAY       1.4  0.169  0.212
3IU7A      288  XRAY       1.4  0.172   0.19
4I3GA      829  XRAY       1.4  0.173  0.199
2HZLA      365  XRAY       1.4  0.173  0.184
3GP6A      163  XRAY       1.4  0.173  0.208
4ITBA      456  XRAY       1.4  0.174   0.19
2GZSA      278  XRAY       1.4  0.174  0.186
8BA3A      289  XRAY       1.4  0.175  0.197
4WRIA      192  XRAY       1.4  0.175  0.205
1K3IA      656  XRAY       1.4  0.176  0.193
7RU7A      448  XRAY       1.4  0.178  0.196
3AFVA      442  XRAY       1.4  0.179  0.197
5MBXA      497  XRAY       1.4  0.181    0.2
5BXCA      298  XRAY       1.4  0.181  0.201
6JSCA      175  XRAY       1.4  0.182  0.202
4R9FA      447  XRAY       1.4  0.185  0.213
5LJXA      495  XRAY       1.4  0.186  0.208
2VNGA      180  XRAY       1.4  0.187  0.235
4RPMA      406  XRAY       1.4  0.189  0.204
1O98A      511  XRAY       1.4   0.19  0.198
4KS7A      292  XRAY       1.4  0.195  0.217
7NR7A      253  XRAY       1.4  0.196  0.222
2O7RA      338  XRAY       1.4    0.2  0.218
3JZJA      409  XRAY       1.4  0.203  0.227
1T5BA      201  XRAY       1.4  0.205  0.223
4E2XA      416  XRAY       1.4  0.206  0.236
7WZFA      272  XRAY       1.4  0.206  0.218
6M9MA      207  XRAY     1.401  0.138  0.173
5ZHOA      162  XRAY     1.401  0.143  0.174
3MVCA      161  XRAY     1.401  0.163  0.205
5JDAA      359  XRAY     1.401  0.171  0.184
7G82B      245  XRAY     1.409  0.189  0.209
7ZGHA      417  XRAY      1.41  0.151  0.183
5L4SA      318  XRAY      1.41  0.155  0.183
8AHUA      283  XRAY      1.41  0.173  0.203
3CTPA      330  XRAY      1.41  0.183  0.207
5HNVA      302  XRAY      1.41  0.184   0.21
9IN9A      231  XRAY      1.41  0.189  0.218
7F42A      200  XRAY      1.41  0.205   0.23
5DE3A      169  XRAY     1.417  0.208  0.228
6W3OA      254  XRAY      1.42  0.117  0.162
4HMTA      225  XRAY      1.42  0.117  0.153
3UB9A      181  XRAY      1.42  0.134  0.157
